 THE MAXIMUM DISCHARGE FOR: Grnway1         STRUCTURE NO.        1 IS:        62.89  AT TIME:     4.10
                                        INFLOW NODE:     35372 AND OUTFLOW NODE:     34515
                                     8.60               2.31                     -2.31
                                     8.70               2.25                     -2.25
                                     8.80               2.18                     -2.18
                                     8.90               2.10                     -2.10
                                     9.00               2.00                     -2.00
                                     9.10               1.90                     -1.90
                                     9.20               1.79                     -1.79
                                     9.30               1.69                     -1.69
                                     9.40               1.60                     -1.60
                                     9.50               1.52                     -1.52
                                     9.60               1.46                     -1.46
                                     9.70               1.40                     -1.40
                                     9.80               1.35                     -1.35
                                     9.90               1.31                     -1.31
                                    10.00               1.27                     -1.27

 THE MAXIMUM DISCHARGE FOR: CULV_128        STRUCTURE NO.        9 IS:         2.24  AT TIME:     4.70
                                        INFLOW NODE:     13305 AND OUTFLOW NODE:     12775
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.00                      0.00
                                     3.80               0.00                      0.00
                                     3.90               0.04                     -0.04
                                     4.00               0.22                     -0.22
                                     4.10               0.40                     -0.40
                                     4.20               1.66                     -1.66
                                     4.30               1.73                     -1.73
                                     4.40               1.84                     -1.84
                                     4.50               1.98                     -1.98
                                     4.60               2.19                     -2.19
                                     4.70               2.24                     -2.24
                                     4.80               2.10                     -2.10
                                     4.90               1.93                     -1.93
                                     5.00               1.83                     -1.83
                                     5.10               1.73                     -1.73
                                     5.20               1.65                     -1.65
                                     5.30               1.57                     -1.57
                                     5.40               1.48                     -1.48
                                     5.50               1.15                     -1.15
                                     5.60               1.04                     -1.04
                                     5.70               0.95                     -0.95
                                     5.80               0.81                     -0.81
                                     5.90               0.72                     -0.72
                                     6.00               0.64                     -0.64
                                     6.10               0.56                     -0.56
                                     6.20               0.49                     -0.49
                                     6.30               0.42                     -0.42
                                     6.40               0.37                     -0.37
                                     6.50               0.34                     -0.34
                                     6.60               0.29                     -0.29
                                     6.70               0.25                     -0.25
                                     6.80               0.22                     -0.22
                                     6.90               0.19                     -0.19
                                     7.00               0.17                     -0.17
                                     7.10               0.16                     -0.16
                                     7.20               0.14                     -0.14
                                     7.30               0.13                     -0.13
                                     7.40               0.11                     -0.11
                                     7.50               0.10                     -0.10
                                     7.60               0.09                     -0.09
                                     7.70               0.07                     -0.07
                                     7.80               0.06                     -0.06
                                     7.90               0.05                     -0.05
                                     8.00               0.05                     -0.05
                                     8.10               0.04                     -0.04
                                     8.20               0.03                     -0.03
                                     8.30               0.02                     -0.02
                                     8.40               0.01                     -0.01
                                     8.50               0.00                      0.00
                                     8.60               0.00                      0.00
                                     8.70               0.00                      0.00
                                     8.80               0.00                      0.00
                                     8.90               0.00                      0.00
                                     9.00               0.00                      0.00
                                     9.10               0.00                      0.00
                                     9.20               0.00                      0.00
                                     9.30               0.00                      0.00
                                     9.40               0.00                      0.00
                                     9.50               0.00                      0.00
                                     9.60               0.00                      0.00
                                     9.70               0.00                      0.00
                                     9.80               0.00                      0.00
                                     9.90               0.00                      0.00
                                    10.00               0.00                      0.00

 THE MAXIMUM DISCHARGE FOR: CULV_129        STRUCTURE NO.       10 IS:        10.22  AT TIME:     4.60
                                        INFLOW NODE:     13485 AND OUTFLOW NODE:     12954
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.00                      0.00
                                     3.80               0.00                      0.00
                                     3.90               0.18                     -0.18
                                     4.00               2.21                     -2.21
                                     4.10               7.45                     -7.45
                                     4.20               7.34                     -7.34
                                     4.30               7.97                     -7.97
                                     4.40               9.03                     -9.03
                                     4.50               9.73                     -9.73
                                     4.60              10.22                    -10.22
                                     4.70              10.22                    -10.22
                                     4.80               9.70                     -9.70
                                     4.90               9.09                     -9.09
                                     5.00               8.39                     -8.39
                                     5.10               7.57                     -7.57
                                     5.20               6.97                     -6.97
                                     5.30               6.36                     -6.36
                                     5.40               6.39                     -6.39
                                     5.50               6.71                     -6.71
                                     5.60               6.40                     -6.40
                                     5.70               5.71                     -5.71
                                     5.80               5.25                     -5.25
                                     5.90               4.94                     -4.94
                                     6.00               4.53                     -4.53
                                     6.10               4.22                     -4.22
                                     6.20               3.71                     -3.71
                                     6.30               3.60                     -3.60
                                     6.40               3.44                     -3.44
                                     6.50               3.10                     -3.10
                                     6.60               2.94                     -2.94
                                     6.70               2.81                     -2.81
                                     6.80               2.69                     -2.69
                                     6.90               2.59                     -2.59
                                     7.00               2.49                     -2.49
                                     7.10               2.39                     -2.39
                                     7.20               2.30                     -2.30
                                     7.30               2.21                     -2.21
                                     7.40               2.13                     -2.13
                                     7.50               2.05                     -2.05
                                     7.60               1.97                     -1.97
                                     7.70               1.90                     -1.90
                                     7.80               1.83                     -1.83
                                     7.90               1.77                     -1.77
                                     8.00               1.71                     -1.71
                                     8.10               1.67                     -1.67
                                     8.20               1.63                     -1.63
                                     8.30               1.59                     -1.59
                                     8.40               1.56                     -1.56
                                     8.50               1.52                     -1.52
                                     8.60               1.49                     -1.49
                                     8.70               1.46                     -1.46
                                     8.80               1.43                     -1.43
                                     8.90               1.40                     -1.40
                                     9.00               1.37                     -1.37
                                     9.10               1.34                     -1.34
                                     9.20               1.31                     -1.31
                                     9.30               1.28                     -1.28
                                     9.40               1.26                     -1.26
                                     9.50               1.23                     -1.23
                                     9.60               1.21                     -1.21
                                     9.70               1.18                     -1.18
                                     9.80               1.16                     -1.16
                                     9.90               1.14                     -1.14
                                    10.00               1.12                     -1.12

 THE MAXIMUM DISCHARGE FOR: CULV_129B       STRUCTURE NO.       11 IS:         0.00  AT TIME:     0.00
                                        INFLOW NODE:     13490 AND OUTFLOW NODE:     12954
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.00                      0.00
                                     3.80               0.00                      0.00
                                     3.90               0.00                     -0.18
                                     4.00               0.00                     -2.21
                                     4.10               0.00                     -7.45
                                     4.20               0.00                     -7.34
                                     4.30               0.00                     -7.97
                                     4.40               0.00                     -9.03
                                     4.50               0.00                     -9.73
                                     4.60               0.00                    -10.22
                                     4.70               0.00                    -10.22
                                     4.80               0.00                     -9.70
                                     4.90               0.00                     -9.09
                                     5.00               0.00                     -8.39
                                     5.10               0.00                     -7.57
                                     5.20               0.00                     -6.97
                                     5.30               0.00                     -6.36
                                     5.40               0.00                     -6.39
                                     5.50               0.00                     -6.71
                                     5.60               0.00                     -6.40
                                     5.70               0.00                     -5.71
                                     5.80               0.00                     -5.25
                                     5.90               0.00                     -4.94
                                     6.00               0.00                     -4.53
                                     6.10               0.00                     -4.22
                                     6.20               0.00                     -3.71
                                     6.30               0.00                     -3.60
                                     6.40               0.00                     -3.44
                                     6.50               0.00                     -3.10
                                     6.60               0.00                     -2.94
                                     6.70               0.00                     -2.81
                                     6.80               0.00                     -2.69
                                     6.90               0.00                     -2.59
                                     7.00               0.00                     -2.49
                                     7.10               0.00                     -2.39
                                     7.20               0.00                     -2.30
                                     7.30               0.00                     -2.21
                                     7.40               0.00                     -2.13
                                     7.50               0.00                     -2.05
                                     7.60               0.00                     -1.97
                                     7.70               0.00                     -1.90
                                     7.80               0.00                     -1.83
                                     7.90               0.00                     -1.77
                                     8.00               0.00                     -1.71
                                     8.10               0.00                     -1.67
                                     8.20               0.00                     -1.63
                                     8.30               0.00                     -1.59
                                     8.40               0.00                     -1.56
                                     8.50               0.00                     -1.52
                                     8.60               0.00                     -1.49
                                     8.70               0.00                     -1.46
                                     8.80               0.00                     -1.43
                                     8.90               0.00                     -1.40
                                     9.00               0.00                     -1.37
                                     9.10               0.00                     -1.34
                                     9.20               0.00                     -1.31
                                     9.30               0.00                     -1.28
                                     9.40               0.00                     -1.26
                                     9.50               0.00                     -1.23
                                     9.60               0.00                     -1.21
                                     9.70               0.00                     -1.18
                                     9.80               0.00                     -1.16
                                     9.90               0.00                     -1.14
                                    10.00               0.00                     -1.12

 THE MAXIMUM DISCHARGE FOR: CULV_129C       STRUCTURE NO.       12 IS:         0.00  AT TIME:     0.00
                                        INFLOW NODE:     13494 AND OUTFLOW NODE:     12954
                                     0.10               0.00                      0.00
                                     0.20               0.00                      0.00
                                     0.30               0.00                      0.00
                                     0.40               0.00                      0.00
                                     0.50               0.00                      0.00
                                     0.60               0.00                      0.00
                                     0.70               0.00                      0.00
                                     0.80               0.00                      0.00
                                     0.90               0.00                      0.00
                                     1.00               0.00                      0.00
                                     1.10               0.00                      0.00
                                     1.20               0.00                      0.00
                                     1.30               0.00                      0.00
                                     1.40               0.00                      0.00
                                     1.50               0.00                      0.00
                                     1.60               0.00                      0.00
                                     1.70               0.00                      0.00
                                     1.80               0.00                      0.00
                                     1.90               0.00                      0.00
                                     2.00               0.00                      0.00
                                     2.10               0.00                      0.00
                                     2.20               0.00                      0.00
                                     2.30               0.00                      0.00
                                     2.40               0.00                      0.00
                                     2.50               0.00                      0.00
                                     2.60               0.00                      0.00
                                     2.70               0.00                      0.00
                                     2.80               0.00                      0.00
                                     2.90               0.00                      0.00
                                     3.00               0.00                      0.00
                                     3.10               0.00                      0.00
                                     3.20               0.00                      0.00
                                     3.30               0.00                      0.00
                                     3.40               0.00                      0.00
                                     3.50               0.00                      0.00
                                     3.60               0.00                      0.00
                                     3.70               0.00                      0.00
                                     3.80               0.00                      0.00
                                     3.90               0.00                     -0.18
                                     4.00               0.00                     -2.21
                                     4.10               0.00                     -7.45
                                     4.20               0.00                     -7.34
                                     4.30               0.00                     -7.97
                                     4.40               0.00                     -9.03
                                     4.50               0.00                     -9.73
                                     4.60               0.00                    -10.22
                                     4.70               0.00                    -10.22
                                     4.80               0.00                     -9.70
                                     4.90               0.00                     -9.09
                                     5.00               0.00                     -8.39
                                     5.10               0.00                     -7.57
                                     5.20               0.00                     -6.97
                                     5.30               0.00                     -6.36
                                     5.40               0.00                     -6.39
                                     5.50               0.00                     -6.71
                                     5.60               0.00                     -6.40
                                     5.70               0.00                     -5.71
                                     5.80               0.00                     -5.25
                                     5.90               0.00                     -4.94
                                     6.00               0.00                     -4.53
                                     6.10               0.00                     -4.22
                                     6.20               0.00                     -3.71
                                     6.30               0.00                     -3.60
                                     6.40               0.00                     -3.44
                                     6.50               0.00                     -3.10
                                     6.60               0.00                     -2.94
                                     6.70               0.00                     -2.81
                                     6.80               0.00                     -2.69
                                     6.90               0.00                     -2.59
                                     7.00               0.00                     -2.49
                                     7.10               0.00                     -2.39
                                     7.20               0.00                     -2.30
                                     7.30               0.00                     -2.21
                                     7.40               0.00                     -2.13
                                     7.50               0.00                     -2.05
                                     7.60               0.00                     -1.97
                                     7.70               0.00                     -1.90
                                     7.80               0.00                     -1.83
                                     7.90               0.00                     -1.77
                                     8.00               0.00                     -1.71
                                     8.10               0.00                     -1.67
                                     8.20               0.00                     -1.63
                                     8.30               0.00                     -1.59
                                     8.40               0.00                     -1.56
                                     8.50               0.00                     -1.52
                                     8.60               0.00                     -1.49
                                     8.70               0.00                     -1.46
                                     8.80               0.00                     -1.43
                                     8.90               0.00                     -1.40
                                     9.00               0.00                     -1.37
                                     9.10               0.00                     -1.34
                                     9.20               0.00                     -1.31
                                     9.30               0.00                     -1.28
                                     9.40               0.00                     -1.26
                                     9.50               0.00                     -1.23
                                     9.60               0.00                     -1.21
                                     9.70               0.00                     -1.18
                                     9.80               0.00                     -1.16
                                     9.90               0.00                     -1.14
                                    10.00               0.00                     -1.12
